Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,PutObject,Requests-Tier1,isa.playbacknow.com,9/1/17 0:00,10/1/17 0:00,2145
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbackre.com,9/1/17 0:00,10/1/17 0:00,3609112
AmazonS3,PutObject,Requests-Tier1,playbacknacac.com,9/1/17 0:00,10/1/17 0:00,3486
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbackaaj.com,9/1/17 0:00,10/1/17 0:00,6108999
AmazonS3,GetObject,DataTransfer-Out-Bytes,nais.playbacknow.com,9/1/17 0:00,10/1/17 0:00,243
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,playbacknarme.com,9/1/17 0:00,10/1/17 0:00,20696
AmazonS3,GetObject,USE1-CloudFront-Out-Bytes,playbacknarme.com,9/1/17 0:00,10/1/17 0:00,52375201
AmazonS3,HeadBucket,Requests-Tier2,playbacknarme.com,9/1/17 0:00,10/1/17 0:00,72
AmazonS3,PutObject,Requests-Tier1,playbacknacba.com,9/1/17 0:00,10/1/17 0:00,4724
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbacknar.com,9/1/17 0:00,10/1/17 0:00,8266099
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbacknala.com,9/1/17 0:00,10/1/17 0:00,3594940
AmazonS3,GetObject,Requests-Tier2,playbacknar.com,9/1/17 0:00,10/1/17 0:00,8778
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,playbacknatp.com,9/1/17 0:00,10/1/17 0:00,20708
AmazonS3,HeadBucket,Requests-Tier2,playbackacp.com,9/1/17 0:00,10/1/17 0:00,719
AmazonS3,PutObject,Requests-Tier1,playbackre.com,9/1/17 0:00,10/1/17 0:00,3331
AmazonS3,PutObject,Requests-Tier1,playbackcas.com,9/1/17 0:00,10/1/17 0:00,3168
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbacktappi.com,9/1/17 0:00,10/1/17 0:00,3678284
AmazonS3,PutObject,Requests-Tier1,playbackngs.com,9/1/17 0:00,10/1/17 0:00,7033
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbacknarme.com,9/1/17 0:00,10/1/17 0:00,4400127
AmazonS3,GetObject,DataTransfer-Out-Bytes,playbackacp.com,9/1/17 0:00,10/1/17 0:00,57880087351
AmazonS3,GetObject,Requests-Tier2,playbacknarme.com,9/1/17 0:00,10/1/17 0:00,4362
AmazonS3,GetObject,USE1-CloudFront-Out-Bytes,playbackndsc.com,9/1/17 0:00,10/1/17 0:00,4579086758
AmazonS3,HeadBucket,Requests-Tier2,playbacknatp.com,9/1/17 0:00,10/1/17 0:00,172
AmazonS3,PutObject,Requests-Tier1,playbacknarme.com,9/1/17 0:00,10/1/17 0:00,4381
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbackhinman.com,9/1/17 0:00,10/1/17 0:00,6590975
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbackc21.com,9/1/17 0:00,10/1/17 0:00,1077905
